REMOVE,BBS_NAME,CODES,CN,EN,SN
,鷗或燕鷗類(鷗科),,鷗或燕鷗類(鷗科),gull/tern sp.,Laridae sp.
,黑叉尾海燕,"SSTP,SWSP,SSPE,OCMO",黑叉尾海燕,Swinhoe's Storm-Petrel,Oceanodroma monorhis
,穴鳥,"BUPE,BUBU",穴鳥,Bulwer's Petrel,Bulweria bulwerii
,大水薙鳥,"STRS,STSH,CALE",大水薙鳥,Streaked Shearwater,Calonectris leucomelas
,肉足水薙鳥,"FFSH,ARCA",肉足水薙鳥,Flesh-footed Shearwater,Ardenna carneipes
,長尾水薙鳥,"WTSH,ARPA",長尾水薙鳥,Wedge-tailed Shearwater,Ardenna pacifica
,灰水薙鳥,"SOSH,ARGR",灰水薙鳥,Sooty Shearwater,Ardenna grisea
,短尾水薙鳥,"STTS,STSH,ARTE",短尾水薙鳥,Short-tailed Shearwater,Ardenna tenuirostris
,黑白水薙鳥類,,黑白水薙鳥類,black-and-white shearwater sp.,Puffinus sp. (black-and-white shearwater sp.)
,水薙鳥類(XX水薙鳥),,水薙鳥類,shearwater sp.,Procellariidae sp. (shearwater sp.)
,鸌科,,鸌科,Procellariid sp.,Procellariidae sp.
,黑鸛,"BLST,CINI",黑鸛,Black Stork,Ciconia nigra
,白鸛,"WHST,CICI",白鸛,White Stork,Ciconia ciconia
,東方白鸛,"ORST,CIBO",東方白鸛,Oriental Stork,Ciconia boyciana
,白斑軍艦鳥,"LEFR,FRAR",白斑軍艦鳥,Lesser Frigatebird,Fregata ariel
,軍艦鳥,"GREF,GRFR,FRMI",軍艦鳥,Great Frigatebird,Fregata minor
,軍艦鳥科(XX軍艦鳥),,軍艦鳥科,frigatebird sp.,Fregata sp.
,藍臉鰹鳥,"MABO,SUDA",藍臉鰹鳥,Masked Booby,Sula dactylatra
,白腹鰹鳥,"BRBO,SULE",白腹鰹鳥,Brown Booby,Sula leucogaster
,紅腳鰹鳥,"RFBO,SUSU",紅腳鰹鳥,Red-footed Booby,Sula sula
,鰹鳥類,,鰹鳥類,booby sp.,Sula sp.
,海鸕鷀,"PECO,PHPE",海鸕鷀,Pelagic Cormorant,Phalacrocorax pelagicus
,鸕鷀,"GRCO,BLSH,GBCO,WBCO,PHCA",鸕鷀,Great Cormorant,Phalacrocorax carbo
,丹氏鸕鷀,"JACO,PHCA",丹氏鸕鷀,Japanese Cormorant,Phalacrocorax capillatus
,鸕鷀類(XX鸕鷀),,鸕鷀類,cormorant sp.,Phalacrocoracidae sp.
,卷羽鵜鶘,"DAPE,PECR",卷羽鵜鶘,Dalmatian Pelican,Pelecanus crispus
,大麻鷺,"EUBI,GRBI,BOST",大麻鷺,Great Bittern,Botaurus stellaris
,黃小鷺,"YEBI,IXSI",黃小鷺,Yellow Bittern,Ixobrychus sinensis
,秋小鷺,"VSBI,SCBI,IXEU",秋小鷺,Schrenck's Bittern,Ixobrychus eurhythmus
,栗小鷺,"CIBI,IXCI",栗小鷺,Cinnamon Bittern,Ixobrychus cinnamomeus
,黃頸黑鷺,"BLBI,IXFL",黃頸黑鷺,Black Bittern,Ixobrychus flavicollis
,葦鷺屬,,葦鷺屬,small bittern sp.,Ixobrychus sp.
,蒼鷺,"GRAH,GRHE,ARCI",蒼鷺,Gray Heron,Ardea cinerea
,紫鷺,"PUHE,ARPU",紫鷺,Purple Heron,Ardea purpurea
X,蒼/紫鷺,"GRHE,GRAH,PUHE,ARPU,ARCI",蒼/紫鷺,Gray/Purple Heron,Ardea cinerea/purpurea
,大白鷺,"GREG,WHHE,GWEG,ARAL",大白鷺,Great Egret,Ardea alba
,中白鷺,"INEG,YBEG,ARIN",中白鷺,Intermediate Egret,Ardea intermedia
,大/中白鷺,"YBEG,GWEG,GREG,INEG,WHHE,ARIN,ARAL",大/中白鷺,Great/Intermediate Egret,Ardea alba/intermedia
,白臉鷺,"WFHE,EGNO",白臉鷺,White-faced Heron,Egretta novaehollandiae
,唐白鷺,"CHEG,EGEU",唐白鷺,Chinese Egret,Egretta eulophotes
,小白鷺,"LIEG,EGGA",小白鷺,Little Egret,Egretta garzetta
,岩鷺,"PRHE,PARH,REHE,EREG,EGSA",岩鷺,Pacific Reef-Heron,Egretta sacra
,白頸黑鷺,"PIHE,EGPI",白頸黑鷺,Pied Heron,Egretta picata
,黃頭鷺,"CAEG,WCEG,BUIB",黃頭鷺,Cattle Egret,Bubulcus ibis
,白鷺類(XX白鷺),,白鷺類,white egret sp.,Ardea/Egretta/Bubulcus sp.
,池鷺,"CHPH,CPHE,ARBA",池鷺,Chinese Pond-Heron,Ardeola bacchus
,爪哇池鷺,"JPHE,JAPH,ARSP",爪哇池鷺,Javan Pond-Heron,Ardeola speciosa
,池鷺屬,,池鷺屬,pond-heron sp.,Ardeola sp.
,綠簑鷺,"STRH,STHE,GBHE,BUST",綠簑鷺,Striated Heron,Butorides striata
,夜鷺,"BCNH,NYNY",夜鷺,Black-crowned Night-Heron,Nycticorax nycticorax
,棕夜鷺,"NNHE,NANH,RUNH,RNHE,NYCA",棕夜鷺,Rufous Night-Heron,Nycticorax caledonicus
,麻鷺,"JNHE,JANH,GOGO",麻鷺,Japanese Night-Heron,Gorsachius goisagi
,黑冠麻鷺,"MANH,MNHE,GOME",黑冠麻鷺,Malayan Night-Heron,Gorsachius melanolophus
X,麻鷺/黑冠麻鷺,"MNHE,JNHE,JANH,MANH,GOME,GOGO",麻鷺/黑冠麻鷺,Japanese/Malayan Night-Heron,Gorsachius goisagi/melanolophus
,鷺科(XX鷺),,鷺科,heron sp.,Ardeidae sp.
,彩䴉,"GLIB,PLFA",彩䴉,Glossy Ibis,Plegadis falcinellus
,埃及聖䴉,"ASIB,SAIB,THAE",埃及聖䴉,African Sacred Ibis,Threskiornis aethiopicus
X,埃及/馬島聖䴉,"ASIB,SAIB,MSIB,THBE,THAE",埃及/馬島聖䴉,African/Madagascar Sacred Ibis,Threskiornis aethiopicus/bernieri
,黑頭白䴉,"BHIB,THME",黑頭白䴉,Black-headed Ibis,Threskiornis melanocephalus
,䴉科(XX䴉),,䴉科,ibis sp.,Threskiornithidae sp. (ibis sp.)
,白琵鷺,"EURS,EUSP,PLLE",白琵鷺,Eurasian Spoonbill,Platalea leucorodia
,黑面琵鷺,"BFSP,PLMI",黑面琵鷺,Black-faced Spoonbill,Platalea minor
,琵鷺屬(XX琵鷺),,琵鷺屬,spoonbill sp.,Platalea sp.
,魚鷹,"OSPR,WEOS,PAHA",魚鷹,Osprey,Pandion haliaetus
,黑翅鳶,"BWKI,ABSK,ELCA",黑翅鳶,Black-winged Kite,Elanus caeruleus
,東方蜂鷹,"OHBU,ORHB,CRHB,CHBU,PEPT",東方蜂鷹,Oriental Honey-buzzard,Pernis ptilorhynchus
,黑冠鵑隼,"BLBA,AVLE",黑冠鵑隼,Black Baza,Aviceda leuphotes
,禿鷲,"BLVU,CIVU,AEMO",禿鷲,Cinereous Vulture,Aegypius monachus
,大冠鷲,"CRSE,CSEA,SPCH",大冠鷲,Crested Serpent-Eagle,Spilornis cheela
,熊鷹,"MHEA,MOHE,NINI",熊鷹,Mountain Hawk-Eagle,Nisaetus nipalensis
,林鵰,"BLEA,ICMA",林鵰,Black Eagle,Ictinaetus malaiensis
,花鵰,"GSEA,CLCL",花鵰,Greater Spotted Eagle,Clanga clanga
,靴雕,"BOEA,HIPE",靴雕,Booted Eagle,Hieraaetus pennatus
,白肩鵰,"EIEA,IMEA,AQHE",白肩鵰,Imperial Eagle,Aquila heliaca
,白腹鵰,"BOEA,AQFA",白腹鵰,Bonelli's Eagle,Aquila fasciata
,鵰屬(XX鵰),,鵰屬,Aquila sp.,Aquila sp.
X,花鵰屬/鵰屬,,花鵰屬/鵰屬,Clanga/Aquila sp.,Clanga/Aquila sp.
,灰面鵟鷹,"GFBU,BUIN",灰面鵟鷹,Gray-faced Buzzard,Butastur indicus
,東方澤鵟,"EMHA,EAMH,CISP",東方澤鵟,Eastern Marsh-Harrier,Circus spilonotus
X,東方/巴布亞澤鵟,"EMHA,PAMH,PMHA,EAMH,PAHA,CISP",東方/巴布亞澤鵟,Eastern/Papuan Marsh-Harrier,Circus spilonotus/spilothorax
,灰澤鵟,"HEHA,CICY",灰澤鵟,Hen Harrier,Circus cyaneus
,花澤鵟,"PIHA,CIME",花澤鵟,Pied Harrier,Circus melanoleucos
,澤鵟屬(XX澤鵟),,澤鵟屬,harrier sp.,Circus sp.
,鳳頭蒼鷹,"CRGO,ACTR",鳳頭蒼鷹,Crested Goshawk,Accipiter trivirgatus
,赤腹鷹,"CHIS,CHSP,ACSO",赤腹鷹,Chinese Sparrowhawk,Accipiter soloensis
,日本松雀鷹,"JASP,ACGU",日本松雀鷹,Japanese Sparrowhawk,Accipiter gularis
,松雀鷹,"BESR,ACVI",松雀鷹,Besra,Accipiter virgatus
,日本松雀鷹/松雀鷹,"BESR,JASP,ACGU,ACVI",日本松雀鷹/松雀鷹,Japanese Sparrowhawk/Besra,Accipiter gularis/virgatus
,鳳頭蒼鷹/松雀鷹,"CRGO,BESR,ACTR,ACVI",鳳頭蒼鷹/松雀鷹,Crested Goshawk/Besra,Accipiter trivirgatus/virgatus
,北雀鷹,"EUSP,ACNI",北雀鷹,Eurasian Sparrowhawk,Accipiter nisus
,蒼鷹,"NOGO,ACGE",蒼鷹,Northern Goshawk,Accipiter gentilis
,雀鷹屬(XX雀鷹),UAHA,雀鷹屬,Accipiter sp.,Accipiter sp.
,黑鳶,"BLAK,BBKI,BLKI,MIMI",黑鳶,Black Kite,Milvus migrans
,栗鳶,"BRKI,HAIN",栗鳶,Brahminy Kite,Haliastur indus
,白尾海鵰,"WTEA,HAAL",白尾海鵰,White-tailed Eagle,Haliaeetus albicilla
,白腹海鵰,"WBSE,HALE",白腹海鵰,White-bellied Sea-Eagle,Haliaeetus leucogaster
,毛足鵟,"RLHA,RLBU,BULA",毛足鵟,Rough-legged Hawk,Buteo lagopus
,歐亞鵟,"COBU,STBU,BUBU",歐亞鵟,Common Buzzard,Buteo buteo
,東方鵟,"EABU,BUJA",東方鵟,Eastern Buzzard,Buteo japonicus
,大鵟,"UPBU,BUHE",大鵟,Upland Buzzard,Buteo hemilasius
,鵟屬(XX鵟),,鵟屬,Buteo sp.,Buteo sp.
X,鵟屬/鵰類,,鵟屬/鵰類,Buteo/eagle sp.,Buteo/eagle sp.
,鷹科(鷹類)(XX鷹),UNHA,鷹科(鷹類),hawk sp.,Accipitridae sp. (hawk sp.)
,鷹科(鵰類)(XX鷹),,鷹科(鵰類),eagle sp.,Accipitridae sp. (eagle sp.)
,草鴞,"AGOW,AUGO,EGOW,TYLO",草鴞,Australasian Grass-Owl,Tyto longimembris
,黃嘴角鴞,"MSOW,MOSO,OTSP",黃嘴角鴞,Mountain Scops-Owl,Otus spilocephalus
,領角鴞,"COSO,CSOW,OTLE",領角鴞,Collared Scops-Owl,Otus lettia
,蘭嶼角鴞,"RYSO,RSOW,OTEL",蘭嶼角鴞,Ryukyu Scops-Owl,Otus elegans
,東方角鴞,"ORSO,OSOW,OTSU",東方角鴞,Oriental Scops-Owl,Otus sunia
,角鴞屬(XX角鴞),,角鴞屬,scops-owl sp.,Otus sp.
,鵰鴞,"EEOW,EUEO,BUBU",鵰鴞,Eurasian Eagle-Owl,Bubo bubo
,黃魚鴞,"TFOW,TAFO,KEFL",黃魚鴞,Tawny Fish-Owl,Ketupa flavipes
,鵂鶹,"COOW,GLBR",鵂鶹,Collared Owlet,Glaucidium brodiei
,褐林鴞,"BWOW,BRWO,STLE",褐林鴞,Brown Wood-Owl,Strix leptogrammica
,東方灰林鴞,"HIOW,STNI",東方灰林鴞,Himalayan Owl,Strix nivicolum
,長耳鴞,"LEOW,ASOT",長耳鴞,Long-eared Owl,Asio otus
,短耳鴞,"SEOW,PUEO,ASFL",短耳鴞,Short-eared Owl,Asio flammeus
X,長/短耳鴞,"PUEO,LEOW,SEOW,ASOT,ASFL",長/短耳鴞,Long-eared/Short-eared Owl,Asio otus/flammeus
,褐鷹鴞,"NOBB,NOBO,NIJA",褐鷹鴞,Northern Boobook,Ninox japonica
,鴟鴞類(XX貓頭鷹),UNOW,鴟鴞類,owl sp.,Strigiformes sp.
,戴勝,"EHOO,HOOP,EUHO,UPEP",戴勝,Eurasian Hoopoe,Upupa epops
,翠鳥,"COKI,ALAT",翠鳥,Common Kingfisher,Alcedo atthis
,赤翡翠,"RUKI,HACO",赤翡翠,Ruddy Kingfisher,Halcyon coromanda
,蒼翡翠,"SMKI,WTKI,HASM",蒼翡翠,White-throated Kingfisher,Halcyon smyrnensis
,黑頭翡翠,"BCKI,HAPI",黑頭翡翠,Black-capped Kingfisher,Halcyon pileata
,白領翡翠,"COKI,TOCH",白領翡翠,Collared Kingfisher,Todiramphus chloris
,斑翡翠,"PIKI,CERU",斑翡翠,Pied Kingfisher,Ceryle rudis
,藍喉蜂虎,"IBTB,BTBE,MEVI",藍喉蜂虎,Blue-throated Bee-eater,Merops viridis
,藍頰蜂虎,"BCBE,MEPE",藍頰蜂虎,Blue-cheeked Bee-eater,Merops persicus
,栗喉蜂虎,"BTBE,MEPH",栗喉蜂虎,Blue-tailed Bee-eater,Merops philippinus
,彩虹蜂虎,"RABE,RBEA,MEOR",彩虹蜂虎,Rainbow Bee-eater,Merops ornatus
,佛法僧,"ORDO,DOLL,EUOR",佛法僧,Dollarbird,Eurystomus orientalis
,五色鳥,"TABA,PSNU",五色鳥,Taiwan Barbet,Psilopogon nuchalis
,台灣擬啄木,"TABA,PSNU",五色鳥,Taiwan Barbet,Psilopogon nuchalis
,地啄木,"EUWR,JYTO",地啄木,Eurasian Wryneck,Jynx torquilla
,小啄木,"GCWO,GCPW,YUCA",小啄木,Gray-capped Woodpecker,Yungipicus canicapillus
,大赤啄木,"WBWO,DELE",大赤啄木,White-backed Woodpecker,Dendrocopos leucotos
,綠啄木,"GHWO,PICA",綠啄木,Gray-headed Woodpecker,Picus canus
X,綠啄木屬,,綠啄木屬,Picus sp.,Picus sp.
,啄木鳥科(XX啄木),UNWO,啄木鳥科,woodpecker sp.,Picidae sp.
,紅隼,"EUKE,COKE,FATI",紅隼,Eurasian Kestrel,Falco tinnunculus
,紅腳隼,"AMFA,FAAM",紅腳隼,Amur Falcon,Falco amurensis
,灰背隼,"MERL,FACO",灰背隼,Merlin,Falco columbarius
,燕隼,"EHOB,EUHO,FASU",燕隼,Eurasian Hobby,Falco subbuteo
,遊隼,"PEFA,FAPE",遊隼,Peregrine Falcon,Falco peregrinus
,大型隼(XX隼),,大型隼,large falcon sp.,Falco sp. (large falcon sp.)
,小型隼(XX隼),,小型隼,small falcon sp.,Falco sp. (small falcon sp.)
,隼屬(XX隼),,隼屬,falcon sp.,Falco sp.
,日行性猛禽類(XX猛禽),,日行性猛禽類,diurnal raptor sp.,Accipitriformes/Falconiformes sp.
,戈芬氏鳳頭鸚鵡,"TACO,CAGO",戈芬氏鳳頭鸚鵡,Tanimbar Corella,Cacatua goffiniana
,葵花鳳頭鸚鵡,"SCCO,CAGA",葵花鳳頭鸚鵡,Sulphur-crested Cockatoo,Cacatua galerita
,白鳳頭鸚鵡,"WHCO,CAAL",白鳳頭鸚鵡,White Cockatoo,Cacatua alba
,鳳頭鸚鵡屬(XX鳳頭鸚鵡),,鳳頭鸚鵡屬,corella/cockatoo sp.,Cacatua sp.
,雞尾鸚鵡(馴化),"COCK,NYHO",雞尾鸚鵡(馴化),Cockatiel (Domestic type),Nymphicus hollandicus (Domestic type)
,亞歷山大鸚鵡,"ALPA,PSEU",亞歷山大鸚鵡,Alexandrine Parakeet,Psittacula eupatria
,紅領綠鸚鵡,"RRPA,RNPA,PSKR",紅領綠鸚鵡,Rose-ringed Parakeet,Psittacula krameri
,虎皮鸚鵡(馴化),"BUDG,MEUN",虎皮鸚鵡(馴化),Budgerigar (Domestic type),Melopsittacus undulatus (Domestic type)
,紅色吸蜜鸚鵡,"RELO,EOBO",紅色吸蜜鸚鵡,Red Lory,Eos bornea
,紅領吸蜜鸚鵡,"RALO,RCLO,TRRU",紅領吸蜜鸚鵡,Red-collared Lorikeet,Trichoglossus rubritorquis
,彩虹吸蜜鸚鵡,"RALO,TRMO",彩虹吸蜜鸚鵡,Rainbow Lorikeet,Trichoglossus moluccanus
,彩虹吸蜜鸚鵡複合群,,彩虹吸蜜鸚鵡複合群,rainbow lorikeet sp.,Trichoglossus sp. (rainbow lorikeet complex)
,費氏愛情鳥,"FILO,AGFI",費氏愛情鳥,Fischer's Lovebird,Agapornis fischeri
,灰鸚鵡,"GRPA,PSER",灰鸚鵡,Gray Parrot,Psittacus erithacus
,和尚鸚鵡,"MOPA,MYMO",和尚鸚鵡,Monk Parakeet,Myiopsitta monachus
,小型鸚鵡類(XX鸚鵡),,小型鸚鵡類,parakeet sp.,Psittaciformes sp. (parakeet sp.)
,大型鸚鵡類(XX鸚鵡),,大型鸚鵡類,parrot sp.,Psittaciformes sp. (parrot sp.)
,藍翅八色鳥,"BWPI,PIMO",藍翅八色鳥,Blue-winged Pitta,Pitta moluccensis
,八色鳥,"FAPI,PINY",八色鳥,Fairy Pitta,Pitta nympha
,綠胸八色鳥,"HOPI,PISO",綠胸八色鳥,Hooded Pitta,Pitta sordida
,灰喉山椒鳥,"GCMI,PESO",灰喉山椒鳥,Gray-chinned Minivet,Pericrocotus solaris
,赤紅山椒鳥,"SCMI,PESP",赤紅山椒鳥,Scarlet Minivet,Pericrocotus speciosus
,琉球山椒鳥,"RYMI,PETE",琉球山椒鳥,Ryukyu Minivet,Pericrocotus tegimae
,灰山椒鳥,"ASMI,PEDI",灰山椒鳥,Ashy Minivet,Pericrocotus divaricatus
X,琉球/灰山椒鳥,"ASMI,RYMI,PETE,PEDI",琉球/灰山椒鳥,Ryukyu/Ashy Minivet,Pericrocotus tegimae/divaricatus
,小灰山椒鳥,"BRMI,SWMI,PECA",小灰山椒鳥,Brown-rumped Minivet,Pericrocotus cantonensis
X,灰/小灰山椒鳥,"ASMI,BRMI,SWMI,PECA,PEDI",灰/小灰山椒鳥,Ashy/Brown-rumped Minivet,Pericrocotus divaricatus/cantonensis
,山椒鳥屬(XX山椒鳥),,山椒鳥屬,minivet sp.,Pericrocotus sp.
,花翅山椒鳥,"LACU,COMA",花翅山椒鳥,Large Cuckooshrike,Coracina macei
,黑翅山椒鳥,"BWCU,LAME",黑翅山椒鳥,Black-winged Cuckooshrike,Lalage melaschistos
,綠畫眉,"WBER,ERZA",綠畫眉,White-bellied Erpornis,Erpornis zantholeuca
,黃鸝,"BNOR,ORCH",黃鸝,Black-naped Oriole,Oriolus chinensis
,朱鸝,"MAOR,ORTR",朱鸝,Maroon Oriole,Oriolus traillii
,大卷尾,"BLDR,DIMA",大卷尾,Black Drongo,Dicrurus macrocercus
,灰卷尾,"ASDR,DILE",灰卷尾,Ashy Drongo,Dicrurus leucophaeus
X,大卷尾/灰卷尾,"ASDR,BLDR,DIMA,DILE",大卷尾/灰卷尾,Black/Ashy Drongo,Dicrurus macrocercus/leucophaeus
,鴉嘴卷尾,"CBDR,DIAN",鴉嘴卷尾,Crow-billed Drongo,Dicrurus annectens
,小卷尾,"BRDR,DIAE",小卷尾,Bronzed Drongo,Dicrurus aeneus
,髮冠卷尾,"HCDR,DIHO",髮冠卷尾,Hair-crested Drongo,Dicrurus hottentottus
,卷尾屬(XX卷尾),,卷尾屬,drongo sp.,Dicrurus sp.
,黑枕藍鶲,"BNMO,HYAZ",黑枕藍鶲,Black-naped Monarch,Hypothymis azurea
,紫綬帶,"JPFL,JAPF,TEAT",紫綬帶,Japanese Paradise-Flycatcher,Terpsiphone atrocaudata
,阿穆爾綬帶,"AMPF,APFL,TEIN",阿穆爾綬帶,Amur Paradise-Flycatcher,Terpsiphone incei
X,日本/阿穆爾綬帶,"APFL,AMPF,JPFL,JAPF,TEIN,TEAT",日本/阿穆爾綬帶,Japanese/Amur Paradise-Flycatcher,Terpsiphone atrocaudata/incei
,虎紋伯勞,"TISH,LATI",虎紋伯勞,Tiger Shrike,Lanius tigrinus
,紅頭伯勞,"BHSH,LABU",紅頭伯勞,Bull-headed Shrike,Lanius bucephalus
,紅背伯勞,"RBSH,LACO",紅背伯勞,Red-backed Shrike,Lanius collurio
,紅尾伯勞,"BROS,BRSH,LACR",紅尾伯勞,Brown Shrike,Lanius cristatus
,紅尾伯勞(日本),"BRSH,BROS,LACR",紅尾伯勞(日本),Brown Shrike (Japanese),Lanius cristatus superciliosus
,紅尾伯勞(灰頭),"BRSH,BROS,LACR",紅尾伯勞(灰頭),Brown Shrike (Philippine),Lanius cristatus lucionensis
,栗背伯勞,"BUSH,LACO",栗背伯勞,Burmese Shrike,Lanius collurioides
,棕背伯勞,"LTSH,LASC",棕背伯勞,Long-tailed Shrike,Lanius schach
,楔尾伯勞,"CGSH,LASP",楔尾伯勞,Chinese Gray Shrike,Lanius sphenocercus
,伯勞屬(XX伯勞),,伯勞屬,shrike sp.,Lanius sp.
,松鴉,"EUJA,GAGL",松鴉,Eurasian Jay,Garrulus glandarius
,灰喜鵲,"AWMA,CYCY",灰喜鵲,Azure-winged Magpie,Cyanopica cyanus
,台灣藍鵲,"TBMA,TABM,URCA",台灣藍鵲,Taiwan Blue-Magpie,Urocissa caerulea
,紅嘴藍鵲,"RBBM,URER",紅嘴藍鵲,Red-billed Blue-Magpie,Urocissa erythroryncha
,樹鵲,"GRTR,DEFO",樹鵲,Gray Treepie,Dendrocitta formosae
,喜鵲,"ORMA,PISE",喜鵲,Oriental Magpie,Pica serica
,星鴉,"SPNU,EUNU,NUCA",星鴉,Eurasian Nutcracker,Nucifraga caryocatactes
,東方寒鴉,"DAJA,CODA",東方寒鴉,Daurian Jackdaw,Corvus dauuricus
,家烏鴉,"HOCR,COSP",家烏鴉,House Crow,Corvus splendens
,禿鼻鴉,"ROOK,COFR",禿鼻鴉,Rook,Corvus frugilegus
,小嘴烏鴉,"CACR,COCO",小嘴烏鴉,Carrion Crow,Corvus corone
,巨嘴鴉,"LBJJ,LBCR,COMA",巨嘴鴉,Large-billed Crow,Corvus macrorhynchos
,玉頸鴉,"COCR,COPE",玉頸鴉,Collared Crow,Corvus pectoralis
,鴉屬(XX鴉),,鴉屬(烏鴉/渡鴉),crow/raven sp.,Corvus sp.
,方尾鶲,"GHCF,CUCE",方尾鶲,Gray-headed Canary-Flycatcher,Culicicapa ceylonensis
,煤山雀,"COTI,PEAT",煤山雀,Coal Tit,Periparus ater
,黃腹山雀,"YBTI,PEVE",黃腹山雀,Yellow-bellied Tit,Periparus venustulus
,赤腹山雀,"CBTI,SICA",赤腹山雀,Chestnut-bellied Tit,Sittiparus castaneoventris
,雜色山雀,"VATI,SIVA",雜色山雀,Varied Tit,Sittiparus varius
,山雀類(XX山雀),UPCH,山雀類,chickadee sp.,Poecile sp.
,青背山雀,"GBTI,PAMO",青背山雀,Green-backed Tit,Parus monticolus
,白頰山雀,"JATI,PAMI",白頰山雀,Japanese Tit,Parus minor
,黃山雀,"YETI,TYTI,MAHO",黃山雀,Taiwan Yellow Tit,Machlolophus holsti
,攀雀,"CPTI,CHPT,RECO",攀雀,Chinese Penduline-Tit,Remiz consobrinus
,大短趾百靈,"GSTL,CABR",大短趾百靈,Greater Short-toed Lark,Calandrella brachydactyla
,賽氏短趾百靈,"MSTL,ESTL,SSTL,CADU",賽氏短趾百靈,Sykes's Short-toed Lark,Calandrella dukhunensis
X,大/賽氏短趾百零,"MSTL,GSTL,SSTL,ESTL,CADU,CABR",大/賽氏短趾百零,Greater/Sykes's Short-toed Lark,Calandrella brachydactyla/dukhunensis
,百靈屬(XX百靈),,百靈屬,Calandrella sp.,Calandrella sp.
,亞洲短趾百靈,"ASTL,ALCH",亞洲短趾百靈,Asian Short-toed Lark,Alaudala cheleensis
X,大/亞洲/小短趾百靈,,大/亞洲/小短趾百靈,Greater/Asian/Lesser Short-toed Lark,Calandrella brachydactyla/Alaudala cheleensis/rufescens
X,大/小短趾百零,"LSTL,GSTL,ALRU,CABR",大/小短趾百零,Greater/Lesser Short-toed Lark,Calandrella brachydactyla/Alaudala rufescens
X,亞洲/小短趾百靈,"ASTL,LSTL,ALRU,ALCH",亞洲/小短趾百靈,Asian/Lesser Short-toed Lark,Alaudala cheleensis/rufescens
,短趾百靈類,,短趾百靈類,Calandrella/Alaudala sp.,Calandrella/Alaudala sp.
,歐亞雲雀,"EUSK,SKYL,ALAR",歐亞雲雀,Eurasian Skylark,Alauda arvensis
,小雲雀,"ORSK,ALGU",小雲雀,Oriental Skylark,Alauda gulgula
,歐亞/小雲雀,"EUSK,SKYL,ORSK,ALAR,ALGU",歐亞/小雲雀,Eurasian/Oriental Skylark,Alauda arvensis/gulgula
,百靈科(XX百靈),,百靈科,lark sp.,Alaudidae sp.
,斑紋鷦鶯,"STPR,PRCR",斑紋鷦鶯,Striated Prinia,Prinia crinigera
,灰頭鷦鶯,"YBPR,PRFL",灰頭鷦鶯,Yellow-bellied Prinia,Prinia flaviventris
,褐頭鷦鶯,"PLPR,PRIN",褐頭鷦鶯,Plain Prinia,Prinia inornata
,鷦鶯屬(XX鷦鶯),,鷦鶯屬,prinia sp.,Prinia sp.
,棕扇尾鶯,"ZICI,CIJU",棕扇尾鶯,Zitting Cisticola,Cisticola juncidis
,黃頭扇尾鶯,"GHCI,CIEX",黃頭扇尾鶯,Golden-headed Cisticola,Cisticola exilis
,扇尾鶯屬(XX扇尾鶯),,扇尾鶯屬,cisticola sp.,Cisticola sp.
,厚嘴葦鶯,"TBWA,ARAE",厚嘴葦鶯,Thick-billed Warbler,Arundinax aedon
,靴籬鶯,"BOWA,IDCA",靴籬鶯,Booted Warbler,Iduna caligata
,雙眉葦鶯,"BBRW,ACBI",雙眉葦鶯,Black-browed Reed Warbler,Acrocephalus bistrigiceps
,細紋葦鶯,"SRWA,ACSO",細紋葦鶯,Streaked Reed Warbler,Acrocephalus sorghophilus
,稻田葦鶯,"PAWA,ACAG",稻田葦鶯,Paddyfield Warbler,Acrocephalus agricola
,鈍翅葦鶯,"BWWA,ACCO",鈍翅葦鶯,Blunt-winged Warbler,Acrocephalus concinens
,遠東葦鶯,"MRWA,ACTA",遠東葦鶯,Manchurian Reed Warbler,Acrocephalus tangorum
,布氏葦鶯,"BREW,BRWA,ACDU",布氏葦鶯,Blyth's Reed Warbler,Acrocephalus dumetorum
,東方大葦鶯,"ORWA,ACOR",東方大葦鶯,Oriental Reed Warbler,Acrocephalus orientalis
,葦鶯屬(XX葦鶯),,葦鶯屬,Acrocephalus sp.,Acrocephalus sp.
,蒼眉蝗鶯,"GRGW,GGWA,LOFA",蒼眉蝗鶯,Gray's Grasshopper-Warbler,Locustella fasciolata
,庫頁島蝗鶯,"SAGW,SGWA,LOAM",庫頁島蝗鶯,Sakhalin Grasshopper-Warbler,Locustella amnicola
X,蒼眉/庫頁島蝗鶯,"SGWA,SAGW,GRGW,GGWA,LOAM,LOFA",蒼眉/庫頁島蝗鶯,Gray's/Sakhalin Grasshopper-Warbler,Locustella fasciolata/amnicola
,小蝗鶯,"PGWA,PAGW,LOCE",小蝗鶯,Pallas's Grasshopper-Warbler,Locustella certhiola
,北蝗鶯,"MIGW,MGWA,LOOC",北蝗鶯,Middendorff's Grasshopper-Warbler,Locustella ochotensis
,史氏蝗鶯,"SGWA,PGWA,PLGW,LOPL",史氏蝗鶯,Pleske's Grasshopper-Warbler,Locustella pleskei
X,北蝗鶯/史氏蝗鶯,"SGWA,MIGW,MGWA,PLGW,PGWA,LOPL,LOOC",北蝗鶯/史氏蝗鶯,Middendorff's/Pleske's Grasshopper-Warbler,Locustella ochotensis/pleskei
,矛斑蝗鶯,"LANW,LAWA,LOLA",矛斑蝗鶯,Lanceolated Warbler,Locustella lanceolata
